,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,200948387,3796129777459,"Bộ Dụng Cụ Vệ Sinh Tai Nghe, Bàn Phím Máy Tính  Đa Năng 7 Trong 1, Nhỏ Gọn, Tiện Lợi - Hàng Chính Hãng",bo-dung-cu-ve-sinh-tai-nghe-ban-phim-may-tinh-da-nang-7-trong-1-nho-gon-tien-loi-p200948387,bo-dung-cu-ve-sinh-tai-nghe-ban-phim-may-tinh-da-nang-7-trong-1-nho-gon-tien-loi-p200948387.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.200948389&itm_medium=CPC&itm_source=tiki-reco&spid=200948389,,,,DORON the best service ,,99000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (536 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",51000,34,4.6,60,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6f/33/ca/9b93255e643567bebf1b5e4d33c70c12.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,200948389,,,False,"{'text': 'Đã bán 347', 'value': 347}",https://salt.tikicdn.com/ts/video/f3/d9/49/42f516150f23ad8463480617f97d97b9.mp4,,150000,True,"[{'impression_id': 'thanos-product-3KtVC1Zc4w4x1PPp', 'metadata': {'price': 99000, 'rating_average': 4.6, 'reviews_count': 60, 'seller_product_id': 200948389}, 'checksum': ''}, {'impression_id': 'b78b5e26-3145-4eba-8745-b6e11551c259', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,154892
1,118420767,6615351702809,Gel vệ sinh bàn phím máy tính siêu sạch - Hàng nhập khẩu,gel-ve-sinh-ban-phim-may-tinh-sieu-sach-hang-nhap-khau-p118420767,gel-ve-sinh-ban-phim-may-tinh-sieu-sach-hang-nhap-khau-p118420767.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.118420768&itm_medium=CPC&itm_source=tiki-reco&spid=118420768,,,,YORN,,21000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (891 ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,126,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a4/22/17/eac1eca347affecad6fa61faf2e6f317.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,118420768,,,False,"{'text': 'Đã bán 1004', 'value': 1004}",,,21000,True,"[{'impression_id': 'thanos-product-AXWIAodO58ItV0tj', 'metadata': {'price': 21000, 'rating_average': 4.5, 'reviews_count': 126, 'seller_product_id': 118420768}, 'checksum': ''}, {'impression_id': 'cf9582fa-7401-403b-b191-25175d69c888', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,104276
2,116783441,2021963619403,"5in1 - Bộ vệ sinh Laptop, Macbook, Máy ảnh Cao Cấp - Hàng Nhập Khẩu - Chính Hãng JRC",5in1-bo-ve-sinh-laptop-macbook-may-anh-cao-cap-hang-nhap-khau-chinh-hang-jrc-p116783441,5in1-bo-ve-sinh-laptop-macbook-may-anh-cao-cap-hang-nhap-khau-chinh-hang-jrc-p116783441.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.116783442&itm_medium=CPC&itm_source=tiki-reco&spid=116783442,,,,JRC,,180000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 35 ASA (8k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.7,212,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4a/97/78/dc35242d0d79d1d94c28859131a90ade.png,280,280,[],False,,False,3941,,,False,False,,,[],,,116783442,,,False,"{'text': 'Đã bán 921', 'value': 921}",https://salt.tikicdn.com/ts/video/98/b4/b0/16413c7639d051b1823fa99428068967.mp4,,180000,True,"[{'impression_id': 'thanos-product-5iOrKeF5rxCGzJlI', 'metadata': {'price': 180000, 'rating_average': 4.7, 'reviews_count': 212, 'seller_product_id': 116783442}, 'checksum': ''}, {'impression_id': '289b87ba-8969-4279-ac99-b9d3e6fdd7cf', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,164219
3,55664768,2494125692161,DUNG DỊCH VỆ SINH CHO MACBOOK/LAPTOP/ MÀN HÌNH JCPAL MIX SCREEN ACOHOL-FREE- HÀNG CHÍNH HÃNG,dung-dich-ve-sinh-cho-macbook-laptop-man-hinh-jcpal-mix-screen-acohol-free-hang-chinh-hang-p55664768,dung-dich-ve-sinh-cho-macbook-laptop-man-hinh-jcpal-mix-screen-acohol-free-hang-chinh-hang-p55664768.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.56380603&itm_medium=CPC&itm_source=tiki-reco&spid=56380603,,,,JCPAL,,150000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 29 ASA (6k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,31,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ef/f6/11/da648ad891486d6c2b7b89fb84261511.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,56380603,,,False,"{'text': 'Đã bán 171', 'value': 171}",,,150000,True,"[{'impression_id': 'thanos-product-wUqVRlxYbbkaSqev', 'metadata': {'price': 150000, 'rating_average': 4.5, 'reviews_count': 31, 'seller_product_id': 56380603}, 'checksum': ''}, {'impression_id': '8387299e-44bb-49e6-81b5-889adcaa45d1', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,338
4,176417604,9183707141487,"Khăn Lau Màn Hình Điện Thoại, Máy Tính Bảng, Laptop, iPhone, iPad, Macbook Polishing Cloth, iGiẻ",khan-lau-man-hinh-dien-thoai-may-tinh-bang-laptop-iphone-ipad-macbook-polishing-cloth-igie-p176417604,khan-lau-man-hinh-dien-thoai-may-tinh-bang-laptop-iphone-ipad-macbook-polishing-cloth-igie-p176417604.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.176417605&itm_medium=CPC&itm_source=tiki-reco&spid=176417605,,,,OEM,,39000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",10000,20,4.6,40,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b7/6b/e6/f351b263956638a4f5f6430a0663ea7a.png,280,280,[],False,,False,3941,,,False,False,,,[],,,176417605,,,False,"{'text': 'Đã bán 234', 'value': 234}",,,49000,True,"[{'impression_id': 'thanos-product-cH25zxY3xdD9LrEa', 'metadata': {'price': 39000, 'rating_average': 4.6, 'reviews_count': 40, 'seller_product_id': 176417605}, 'checksum': ''}, {'impression_id': 'fd28935a-2055-4243-81a8-103b158bd3e2', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,15482
5,197891759,4532233041819,Khăn Lau Màn Hình Polishing Cloth Kai cho iPhone / Macbook / iPad / Laptop / Smartphone / Lens Camera/ Smartwatch loại Fullbox- Hàng Chính Hãng,khan-lau-man-hinh-polishing-cloth-kai-cho-iphone-macbook-ipad-laptop-smartphone-lens-camera-smartwatch-loai-fullbox-hang-chinh-hang-p197891759,khan-lau-man-hinh-polishing-cloth-kai-cho-iphone-macbook-ipad-laptop-smartphone-lens-camera-smartwatch-loai-fullbox-hang-chinh-hang-p197891759.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.197891760&itm_medium=CPC&itm_source=tiki-reco&spid=197891760,,,,Kai Nguyễn,,65000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 13 ASA (3k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,15,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/0a/1a/52/5558b21bed8300882a10695bd5c46a68.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,197891760,,,False,"{'text': 'Đã bán 189', 'value': 189}",https://salt.tikicdn.com/ts/video/63/46/52/4e37f0b2d3ef83a9e4ba329cf1e32840.mp4,,65000,True,"[{'impression_id': 'thanos-product-Sufr4q9IFvtbA1uP', 'metadata': {'price': 65000, 'rating_average': 4.5, 'reviews_count': 15, 'seller_product_id': 197891760}, 'checksum': ''}, {'impression_id': '30df9ad7-5f37-46af-829a-b0968381583c', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,158862
6,217528664,1786178165848,"Chổi Quét Bụi Máy Tính; Chổi Vệ Sinh Cho Bàn Phím Máy Tính, Laptop, Ô Tô; Setup Bàn Làm Việc",choi-quet-bui-cho-ban-phim-may-tinh-lam-sach-da-chuc-nang-hang-nhap-khau-p217528664,choi-quet-bui-cho-ban-phim-may-tinh-lam-sach-da-chuc-nang-hang-nhap-khau-p217528664.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.166359313&itm_medium=CPC&itm_source=tiki-reco&spid=166359313,,,,iKiU,,50000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (271 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,16,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3d/5d/41/c871d94e9ddf55dda8eaca150a9fb9bc.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,166359313,,,False,"{'text': 'Đã bán 133', 'value': 133}",https://salt.tikicdn.com/ts/video/d9/d1/fd/77dc087fcc7c0c2768c9805b3b63fe7e.mp4,,50000,True,"[{'impression_id': 'thanos-product-S2dcsTtrm54U0hYu', 'metadata': {'price': 50000, 'rating_average': 5, 'reviews_count': 16, 'seller_product_id': 166359313}, 'checksum': ''}, {'impression_id': '269e680d-c094-4324-a889-d5c691601eac', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,148768
7,90503838,2185817837045,Bình xịt khí nén vệ sinh bàn phím cho Macbook Laptop,binh-xit-khi-nen-ve-sinh-ban-phim-cho-macbook-laptop-p90503838,binh-xit-khi-nen-ve-sinh-ban-phim-cho-macbook-laptop-p90503838.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.161020587&itm_medium=CPC&itm_source=tiki-reco&spid=161020587,,,,OEM,,149000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (807 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.3,8,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/bb/17/27/b22b67738f7f84719249ebf8bea0fb67.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,161020587,,,False,"{'text': 'Đã bán 25', 'value': 25}",,,149000,True,"[{'impression_id': 'thanos-product-LVNbtke193l56F9a', 'metadata': {'price': 149000, 'rating_average': 4.3, 'reviews_count': 8, 'seller_product_id': 161020587}, 'checksum': ''}, {'impression_id': 'ea2b94d1-2c77-4671-8d2f-957f81230878', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,159903
8,19989837,5589576401952,Bình Xịt Bụi Khí Nén Air Duster Vệ Sinh Laptop Hàng Màu Xanh Cao Cấp - Khí Xịt Cực Mạnh,binh-xit-bui-khi-nen-ve-sinh-laptop-hang-mau-xanh-cao-cap-khi-xit-cuc-manh-p19989837,binh-xit-bui-khi-nen-ve-sinh-laptop-hang-mau-xanh-cao-cap-khi-xit-cuc-manh-p19989837.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.158630587&itm_medium=CPC&itm_source=tiki-reco&spid=158630587,,,,OEM,,105000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (569 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.3,26,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6f/e2/ea/b7ff29ccec7b544a9ad88c8b21642170.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,158630587,,,False,"{'text': 'Đã bán 257', 'value': 257}",,,105000,True,"[{'impression_id': 'thanos-product-Ue8lR1LIVeAux2Hz', 'metadata': {'price': 105000, 'rating_average': 4.3, 'reviews_count': 26, 'seller_product_id': 158630587}, 'checksum': ''}, {'impression_id': '9f41a714-e87e-4190-b55a-52c28456f507', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,159903
9,34520643,1833842884518,[COMBO] Bộ vệ sinh laptop 6 món + Tặng kèm máy hút bui bàn phím (màu ngẫu nhiên) - Hàng nhập khẩu,combo-bo-ve-sinh-laptop-6-mon-tang-kem-may-hut-bui-ban-phim-mau-ngau-nhien-hang-nhap-khau-p34520643,combo-bo-ve-sinh-laptop-6-mon-tang-kem-may-hut-bui-ban-phim-mau-ngau-nhien-hang-nhap-khau-p34520643.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.188730487&itm_medium=CPC&itm_source=tiki-reco&spid=188730487,,,,OEM,,52000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 12 ASA (3k ₫)<br/>≈ 4.9% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",940,2,4.5,8,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ef/30/1d/17c25aa87326b110cc41ee9c9655b5e2.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,188730487,,,False,"{'text': 'Đã bán 85', 'value': 85}",,,52940,True,"[{'impression_id': 'thanos-product-FZp6VmCYAvgGax1G', 'metadata': {'price': 52000, 'rating_average': 4.5, 'reviews_count': 8, 'seller_product_id': 188730487}, 'checksum': ''}, {'impression_id': '7f9a9b98-ca66-43ac-a4cd-c7714f2eae74', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,291080
10,50508330,2365340797844,"Chai xịt màn hình đa năng, chai vệ sinh màn hình tivi, máy tính, laptop, máy ảnh, kính...650ml",chai-xit-man-hinh-da-nang-chai-ve-sinh-man-hinh-tivi-may-tinh-laptop-may-anh-kinh-650ml-p50508330,chai-xit-man-hinh-da-nang-chai-ve-sinh-man-hinh-tivi-may-tinh-laptop-may-anh-kinh-650ml-p50508330.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.162961149&itm_medium=CPC&itm_source=tiki-reco&spid=162961149,,,,OEM,,59000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (320 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.7,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e2/65/61/4229de52cc14848d174d4e40da8a4c02.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,162961149,,,False,"{'text': 'Đã bán 19', 'value': 19}",,,59000,True,"[{'impression_id': 'thanos-product-T4GgEp1rVYuLMLew', 'metadata': {'price': 59000, 'rating_average': 4.7, 'reviews_count': 3, 'seller_product_id': 162961149}, 'checksum': ''}, {'impression_id': 'bc192796-e141-4f3b-9cb1-4f424f600838', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,265319
11,157490476,5388650428925,"Bút Vệ Sinh Tai Nghe Bluetooth 3 Trong 1 Cao Cấp MIFAN - Làm sạch bụi bẩn trong hộp đựng, loa, cổng sạc, điện thoại - Hàng chính hãng",but-ve-sinh-tai-nghe-bluetooth-airpods-3-trong-1-cao-cap-mifan-lam-sach-bui-ban-trong-hop-dung-loa-cong-sac-dien-thoai-p157490476,but-ve-sinh-tai-nghe-bluetooth-airpods-3-trong-1-cao-cap-mifan-lam-sach-bui-ban-trong-hop-dung-loa-cong-sac-dien-thoai-p157490476.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.189536779&itm_medium=CPC&itm_source=tiki-reco&spid=189536779,,,,Mifan,,79000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (428 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",21000,21,4.7,31,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b0/4e/de/f1f31c3582893a40cb26c652ca626548.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,189536779,,,False,"{'text': 'Đã bán 147', 'value': 147}",https://salt.tikicdn.com/ts/video/5f/d8/40/4a99b9d2f4d26b8e18e336227ad6cf4b.mp4,,100000,True,"[{'impression_id': 'thanos-product-DB0xeTl7hU9hfipW', 'metadata': {'price': 79000, 'rating_average': 4.7, 'reviews_count': 31, 'seller_product_id': 189536779}, 'checksum': ''}, {'impression_id': '8242b53a-a2e5-4f26-b0ae-aede0d59adc9', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,237785
12,219186791,3129391639523,Bộ Dụng Cụ Vệ Sinh Laptop Q8 - Máy Tính - Bàn Phím - Tai Nghe Đa Năng 8 In 1 Siêu Nhỏ Gọn - Nhựa Abs Cao Cấp - Hàng Chính Hãng,bo-dung-cu-ve-sinh-laptop-may-tinh-ban-phim-tai-nghe-airpod-da-nang-8-in-1-sieu-nho-gon-nhua-abs-cao-cap-hang-chinh-hang-p219186791,bo-dung-cu-ve-sinh-laptop-may-tinh-ban-phim-tai-nghe-airpod-da-nang-8-in-1-sieu-nho-gon-nhua-abs-cao-cap-hang-chinh-hang-p219186791.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.219186798&itm_medium=CPC&itm_source=tiki-reco&spid=219186798,,,,BUMTEK,,105000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (569 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",95000,48,4.7,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/93/18/d00cacecb3fcc2446e92df5d98776e74.jpg,280,280,[],False,,False,3941,,,False,False,,,[],,,219186798,,,False,"{'text': 'Đã bán 26', 'value': 26}",https://salt.tikicdn.com/ts/video/00/83/4f/5516bf2f53bfbf24718bb783c2341d5f.mp4,,200000,True,"[{'impression_id': 'thanos-product-OZmMrQiQbkYOyKOO', 'metadata': {'price': 105000, 'rating_average': 4.7, 'reviews_count': 7, 'seller_product_id': 219186798}, 'checksum': ''}, {'impression_id': '13f1e2d9-1b21-4590-978b-acb6b094f742', 'metadata': {'product_id': 3941, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1815/28670/28672/28674,0,171992
